danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,uri,title,artist,mood
0.4,0.641,-6.303,0.0674,0.214,0,0.393,81.552,spotify:track:5hnGrTBaEsdukpDF6aZg8a,How Do I Say Goodbye,Dean Lewis,sad
0.553,0.586,-6.319,0.0362,0.697,0,0.443,126.684,spotify:track:3EPXxR3ImUwfayaurPi3cm,Be Alright,Dean Lewis,sad
0.332,0.22,-13.157,0.036,0.821,0.000205,0.0719,100.196,spotify:track:5spAjqC772iC2KzDvEkmSr,A Song for You,Donny Hathaway,sad
0.436,0.255,-8.623,0.0364,0.955,3.28E-05,0.15,113.265,spotify:track:7dDrR6vMK1JAwZZ5MIWgme,Birthday Cake,Dylan Conrique,sad
0.522,0.385,-7.355,0.0288,0.536,0,0.236,89.792,spotify:track:2RttW7RAu5nOAfq6YFvApB,Happier,Ed Sheeran,sad
0.614,0.379,-10.48,0.0476,0.607,0.000464,0.201,107.989,spotify:track:6fxVffaTuwjgEk5h9QyRjy,Photograph,Ed Sheeran,sad
0.471,0.396,-6.654,0.0336,0.77,0,0.263,149.609,spotify:track:44V6EzbUSYgyfsNiP0FrlA,Visiting Hours,Ed Sheeran,sad
0.522,0.385,-7.355,0.0288,0.536,0,0.236,89.792,spotify:track:2RttW7RAu5nOAfq6YFvApB,Happier,Ed Sheeran,sad
0.642,0.289,-9.918,0.0367,0.669,0,0.407,84.996,spotify:track:1XpYodsD36XN7ygcdF7mJJ,The A Team,Ed Sheeran,sad
0.614,0.379,-10.48,0.0476,0.607,0.000464,0.201,107.989,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,sad
0.725,0.199,-12.478,0.0357,0.982,0.00395,0.264,120.031,spotify:track:2qPSa6HXjzwa9sLhNGpA1T,Home,Edith Whiskers,sad
0.349,0.446,-11.327,0.0522,0.827,0.00722,0.141,79.338,spotify:track:2FX5HPP1FNNuLlt2UU9os7,Umbrella,Ember Island,sad
0.376,0.373,-9.184,0.0305,0.827,0.832,0.111,116.074,spotify:track:0AQqrtK1pULuwZUXhwaaDz,All By Myself,Eric Carmen,sad
0.567,0.466,-6.543,0.0298,0.0501,0,0.184,123.284,spotify:track:79wvYwZgtfcnCwBI8XIep8,Always,Gavin James,sad
0.558,0.464,-8.488,0.0354,0.583,0.000133,0.558,171.762,spotify:track:6vuEG9sZtC4W2zT64f7zLF,Alone Again (Naturally),Gilbert O'Sullivan,sad
0.449,0.465,-8.964,0.0791,0.524,1.02E-06,0.543,89.087,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,Giveon,sad
0.449,0.465,-8.964,0.0791,0.524,1.02E-06,0.543,89.087,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,Giveon,sad
0.492,0.275,-13.4,0.3,0.687,0,0.18,92.6,spotify:track:7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",gnash,sad
0.492,0.275,-13.4,0.3,0.687,0,0.18,92.6,spotify:track:7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",gnash,sad
0.66,0.571,-8.947,0.0544,0.545,4.92E-05,0.407,119.883,spotify:track:3weQKQG9ZuqgYAZVswovYS,I know it won't work,Gracie Abrams,sad
0.66,0.571,-8.947,0.0544,0.545,4.92E-05,0.407,119.883,spotify:track:3weQKQG9ZuqgYAZVswovYS,I know it won't work,Gracie Abrams,sad
0.496,0.739,-7.193,0.0415,0.0211,0.00444,0.378,132.41,spotify:track:4JiEyzf0Md7KEFFGWDDdCr,Knockin' On Heaven's Door,Guns N' Roses,sad
0.752,0.488,-7.05,0.0705,0.297,9.11E-06,0.533,136.041,spotify:track:6FZDfxM3a3UCqtzo5pxSLZ,Without Me,Halsey,sad
0.381,0.186,-15.477,0.029,0.613,2.75E-06,0.142,65.058,spotify:track:6MrILERJLA3Jcq0E9poZsp,Without You,Harry Nilsson,sad
0.516,0.595,-4.63,0.0313,0.0275,0,0.222,119.972,spotify:track:5Ohxk2dO5COHF1krpoPigN,Sign of the Times,Harry Styles,sad
0.567,0.267,-6.502,0.0299,0.839,1.46E-06,0.0592,110.011,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,sad
0.567,0.267,-6.502,0.0299,0.839,1.46E-06,0.0592,110.011,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,sad
0.507,0.294,-10,0.04,0.896,1.97E-05,0.386,114.199,spotify:track:6uvh0In7u1Xn4HgxOfAn8O,Matilda,Harry Styles,sad
0.516,0.595,-4.63,0.0313,0.0275,0,0.222,119.972,spotify:track:5Ohxk2dO5COHF1krpoPigN,Sign of the Times,Harry Styles,sad
0.567,0.267,-6.502,0.0299,0.839,1.46E-06,0.0592,110.011,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,sad
0.746,0.482,-7.919,0.0471,0.262,0,0.698,135.202,spotify:track:48obzdkQV1biEq8cPsGLys,Last Kiss,J. Frank Wilson & The Cavaliers,sad
0.868,0.347,-9.529,0.0536,0.308,2.00E-05,0.659,110.059,spotify:track:4VywXu6umkIQ2OS0m1I79y,Better Together,Jack Johnson,sad
0.311,0.485,-5.726,0.0365,0.701,0,0.225,77.355,spotify:track:55Am8neGJkdj2ADaM3aw5H,Train Wreck,James Arthur,sad
0.311,0.485,-5.726,0.0365,0.701,0,0.225,77.355,spotify:track:55Am8neGJkdj2ADaM3aw5H,Train Wreck,James Arthur,sad
0.358,0.557,-7.398,0.059,0.695,0,0.494,85.043,spotify:track:5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,sad
0.376,0.695,-4.782,0.0933,0.135,0,0.302,169.533,spotify:track:5yVIlYEHZxQVLyInCdldoS,Impossible,James Arthur,sad
0.536,0.311,-10.396,0.0288,0.82,1.65E-05,0.246,147.486,spotify:track:2xsAm4w9P3kSF1DophKAiF,Let It Go,James Bay,sad
0.675,0.479,-9.87,0.0278,0.633,1.76E-05,0.454,81.998,spotify:track:0vg4WnUWvze6pBOJDTq99k,You're Beautiful,James Blunt,sad
0.675,0.479,-9.87,0.0278,0.633,1.76E-05,0.454,81.998,spotify:track:0vg4WnUWvze6pBOJDTq99k,You're Beautiful,James Blunt,sad
0.703,0.444,-9.331,0.0417,0.559,0,0.712,150.96,spotify:track:1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,sad
0.502,0.168,-14.061,0.0486,0.885,0,0.355,112.881,spotify:track:219slQu3ALbTSAe9P22hvE,Happiest Year,Jaymes Young,sad
0.6,0.139,-8.975,0.0464,0.811,9.50E-06,0.256,171.041,spotify:track:3U3J5v3rkx89WnFEQvAJD5,FIGURES,Jessie Reyez,sad
0.422,0.264,-7.064,0.0322,0.922,0,0.331,119.93,spotify:track:3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,sad
0.431,0.377,-9.753,0.0288,0.749,0,0.353,173.67,spotify:track:7cpCU3Denug5NGZsSpQl8v,XO,John Mayer,sad
0.472,0.518,-7.379,0.051,0.383,0.127,0.154,147.805,spotify:track:26hOm7dTtBi0TdpDGl141t,Die For You,Joji,sad
0.44,0.317,-9.258,0.0531,0.891,4.78E-06,0.268,169.914,spotify:track:6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,sad
0.464,0.473,-10.086,0.129,0.866,0,0.604,75.801,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),JP Saxe,sad
0.516,0.467,-6.184,0.0302,0.662,0,0.386,132.861,spotify:track:5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),Julia Michaels,sad
0.604,0.741,-5.571,0.0475,0.178,3.49E-05,0.473,153.947,spotify:track:5dPz35akJjPqb17yeqNwqH,Ghost,Justin Bieber,sad
0.609,0.378,-9.828,0.438,0.835,0,0.515,100.418,spotify:track:50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,sad
0.483,0.321,-10.401,0.0719,0.82,0.000107,0.148,141.28,spotify:track:5GpYt1p4z2EPVKv5t7XDof,this is what sadness feels like,JVKE,sad
0.483,0.321,-10.401,0.0719,0.82,0.000107,0.148,141.28,spotify:track:5GpYt1p4z2EPVKv5t7XDof,this is what sadness feels like,JVKE,sad
0.714,0.434,-11.542,0.0396,0.697,0,0.352,123.942,spotify:track:5jx8tCxiO0uIbo2uNia23K,The One That Got Away - Acoustic,Katy Perry,sad
0.583,0.584,-5.362,0.0314,0.254,0,0.136,140.039,spotify:track:3f3omU8n47Mqyab5nCaGyT,Because of You,Kelly Clarkson,sad
0.522,0.128,-18.717,0.0357,0.894,0.026,0.124,109.986,spotify:track:58wyJLv6yH1La9NIZPl3ne,Can We Kiss Forever?,Kina,sad
0.188,0.411,-9.733,0.0484,0.174,0.153,0.159,187.376,spotify:track:0NlGoUyOJSuSHmngoibVAs,All I Want,Kodaline,sad
0.209,0.412,-9.733,0.0443,0.172,0.15,0.162,86.26,spotify:track:2PwXOevGUSkU8qaYZjgLq2,All I Want,Kodaline,sad
0.439,0.751,-7.632,0.0527,0.193,4.61E-05,0.221,164.103,spotify:track:0QfmQhr5npxuWQ4zzUDUhB,Just A Dream,Kurt Hugo Schneider,sad
0.439,0.153,-8.95,0.0479,0.874,0,0.104,116.76,spotify:track:4G92yYrUs0cvY7G41YRI0z,Jealous,Labrinth,sad
0.561,0.522,-5.857,0.0318,0.227,0,0.238,83.962,spotify:track:2EcsgXlxz99UMDSPg5T8RF,Beneath Your Beautiful (feat. Emeli Sandé),Labrinth,sad
0.439,0.153,-8.95,0.0479,0.874,0,0.104,116.76,spotify:track:4G92yYrUs0cvY7G41YRI0z,Jealous,Labrinth,sad
0.494,0.632,-6.89,0.0342,0.682,0,0.0797,147.873,spotify:track:6Up545NUflOiXo8cEraH49,You Say,Lauren Daigle,sad
0.684,0.449,-9.738,0.611,0.869,0,0.341,66.165,spotify:track:6Z165JvPnS8PYvGW8oLGLc,Flowers,Lauren Spencer Smith,sad
0.733,0.459,-9.15,0.0288,0.911,0.00799,0.436,114.044,spotify:track:1gVlxw11C9Tw6G3zVPvZVf,Faith,Levi Evans,sad
0.736,0.308,-7.83,0.0677,0.946,0,0.361,111.202,spotify:track:4Of7rzpRpV1mWRbhp5rAqG,Bruises,Lewis Capaldi,sad
0.501,0.405,-5.679,0.0319,0.751,0,0.446,109.891,spotify:track:2TIlqbIneP0ZY1O0EzYLlc,Someone You Loved,Lewis Capaldi,sad
0.543,0.23,-12.532,0.0417,0.845,0,0.307,127.357,spotify:track:10wk4XQdba4QpHgFb28Ktk,drivers license - Spotify Singles,Lewis Capaldi,sad
0.501,0.405,-5.679,0.0319,0.751,0,0.446,109.891,spotify:track:2TIlqbIneP0ZY1O0EzYLlc,Someone You Loved,Lewis Capaldi,sad
